,category,map_cat,
0,,NA,
5,Arts and culture,NA,
6,Sport,NA,
8,Television,NA,
9,Games,NA,
10,Science and technology,NA,
11,Health,NA,
14,Health and environment,NA,
16, Ernest Smith being moved into the church.,NA,
17, River Thames whale,NA,
18, Samuel Alito,NA,
19,Discoveries,NA,
20,Environment,NA,
21,Weather,NA,
23,Science,NA,
25,Sports,NA,
26,Arts and entertainment,NA,
29,"Arts, culture and entertainment",NA,
33,Law and Crime,NA,
35,Arts and Culture,NA,
38,Entertainment,NA,
39,Law and crimes,NA,
42,Science ,NA,
44,Art and culture,NA,
45,Sport ,NA,
46,Science and environment,NA,
47,"Arts, culture",NA,
48,Law and crime ,NA,
50,Technology,NA,
51,Home Video,NA,
53,Arts & Culture,NA,
56,Arts and culture ,NA,
59,Bird Deaths,NA,
61,Science and medicine,NA,
62,Transport,NA,
63,Health and wellness,NA,
64,Culture,NA,
67,History,NA,
68, TransportÂ :,NA,
69,Sports ,NA,
71, Arts and culture,NA,
77, Science,NA,
78, Sport,NA,
79, Environment,NA,
81,Natural history,NA,
85,Transportation,NA,
86,Movies,NA,
87,Intragalactic relations,NA,
88,Other,NA,
98,Geography,NA,
99,Sports and Recreation,NA,
101,Science and health,NA,
107,Education,NA,
110,"Science, medicine and technology",NA,
113,Environment and health,NA,
114,Video Games,NA,
115,Religion and spirituality,NA,
117,Media and people,NA,
119,Deaths,NA,
120,Life and death,NA,
122,Society,NA,
123,Literature,NA,
124,Science and technology ,NA,
128,Science and Technology,NA,
129,Innovation and technology,NA,
130,Love,NA,
131,Exploration,NA,
132,Media,NA,
133,Physics,NA,
134,Medicine,NA,
138,Films,NA,
141, Science and technology,NA,
145,Business Environmental,NA,
147,Technology and science,NA,
151,Health and medicine,NA,
152,Gaming,NA,
154,Business and Video games,NA,
155,Music,NA,
168,Health and science,NA,
169,Health ,NA,
171,Arts and cuture,NA,
179,Miscellaneous news,NA,
180,Health and Medicine,NA,
184, Health and medicine,NA,
187,Law and crime:,NA,
188,Sports:,NA,
189,Art & literature,NA,
193,Science and nature,NA,
195,Health and medicine ,NA,
196,Culture and media,NA,
197,Arts and cultures,NA,
198,Health and environment ,NA,
200,Arts and culture;,NA,
201,Video games,NA,
202,Science and research,NA,
205,Art and culture ,NA,
1,Business and economy,econ,
30,Business and economics,econ,
40,Business and Economy,econ,
43,Business,econ,
49,Business and economy ,econ,
52,Business and Economics,econ,
66,Business and economy   ,econ,
72, Business and economics,econ,
82,Business and finance,econ,
89,Economics,econ,
90,Economics and business,econ,
93,Business and economies,econ,
96, Business and economy,econ,
108,Finance,econ,
121,Business and Finance,econ,
162,Economy and finance,econ,
174,Business and economic,econ,
175,Businesses and economy,econ,
177,Business and the economy,econ,
186,Business and economy:,econ,
190,Business and economics ,econ,
204,Business  and  economy,econ,
2,International relations,IR,
32,International Relations,IR,
55,International relations:,IR,
74, International relations,IR,
84,International relations ,IR,
160,International Relations ,IR,
176,International relations  ,IR,
182,International relation,IR,
4,Armed conflicts and attacks,conflict,
27,Armed conflicts and incidents,conflict,
36,Armed conflict and incidents,conflict,
54,Armed conflicts,conflict,
57,Armed conflicts and attacks ,conflict,
58,Armed conflicts ,conflict,
60,Armed conflict and attacks,conflict,
70, Armed conflicts and attacks,conflict,
95, Armed conflict and attacks,conflict,
104,Armed conflict,conflict,
105,Conflicts,conflict,
116,Armed attacks and conflicts,conflict,
118,Armed attacks,conflict,
137,Armed conflict and attacks ,conflict,
146,Attacks and conflicts,conflict,
150,Armed conflict and attack,conflict,
157,Armed Conflicts and attacks,conflict,
161,Conflicts and attacks ,conflict,
164,Attacks and armed conflicts,conflict,
167,Armed conflicts and attack,conflict,
173,Conflicts and attacks,conflict,
185,Armed conflicts and attacks:,conflict,
191,Armed conflicts and attacks   ,conflict,
3,Law and crime,politics,
28,Laws and crimes,politics,
31,Law,politics,
144,Crimes,politics,
7,Politics and elections,politics,
24,Politics,politics,
34,Politics ,politics,
37,Politics and government,politics,
65,Arab Spring,politics,
75, Law and crime,politics,
76, Politics and elections,politics,
92,Law and Order,politics,
94,Politics and elections ,politics,
97,"Arrests, detentions and prosecutions",politics,
100,Legal and crime,politics,
102,Law enforcement and crime,politics,
103,Politics and protests,politics,
106,Politics and elections:,politics,
111,Politics and election,politics,
112,Religious affairs,politics,
125,Human rights,politics,
126,Religion and diplomacy,politics,
127,Politics and Elections,politics,
142, Religion,politics,
143,Law and justice,politics,
149,Law & crime,politics,
156,Laws and crime,politics,
158, Defence,politics,
159,Politics & Elections,politics,
163,"Law, crime and accidents",politics,
165,Law and order,politics,
170,Elections and politics,politics,
178,Political elections,politics,
192,Crime,politics,
199,Crime and law,politics,
13,Religion,politics,
15,"A sandstorm in Iraq on April 27, 2005",disaster,
12,Disasters and accidents,disaster,
22,Disasters,disaster,
41,Disasters ,disaster,
73, Disasters,disaster,
80,Disaster ,disaster,
83,Disaster,disaster,
91,Emergency Alerts,disaster,
109,Accidents and disasters,disaster,
135,Disaster and accidents,disaster,
136,Disasters and accidents ,disaster,
139,"Disasters and accidents,",disaster,
140, Disasters and accidents,disaster,
148,Natural disasters,disaster,
153,Disasters and impacts,disaster,
166,Disasters and Accidents,disaster,
172,Accidents,disaster,
181,Accidents and Disasters,disaster,
183,Disasters and accident,disaster,
194,Disasters and incidents,disaster,
203,Disasters and accidents  ,disaster,